Condor,,2026-06-13T11:52:03,Batt % (Start),93.86328,Batt % (End),87.35156,MCU Temp (Start),28,MCU Temp (End),38,,,,,,,,,
time (ms), acc_x (m/s^2), acc_y (m/s^2), acc_z (m/s^2), gyro_x (dps), gyro_y (dps), gyro_z (dps), mag_x (μT), mag_y (μT), mag_z (μT), baro_alt (m), gps_alt (m), temp (c), lat (ddmm.mmmm), lon(ddmm.mmmm), est_yaw (deg), est_pitch (deg), est_roll(deg), est_alt (m), est_speed(m/s)
-1431,10.295056,-0.038443564,-0.20351768,-0.022052508,-0.21150508,0,-4.684385,10.209292,3.0186144,0.190155024,408.3,32.69699,2827.6,8031.8,1.0026475,-0.871744,296.67554,2.5236728,1.4661355
-1408,10.295056,-0.5189694,0.27700818,0.11794749,-0.35150512,0.14,-4.7177816,10.214676,3.0280624,0.21392822,408.3,32.7007,2827.6,8031.8,1.3545151,-0.9980128,296.65608,2.5236826,1.4666511
-1386,10.295056,-0.5189694,0.27700818,-0.022052508,-0.21150508,0.28,-4.716024,10.205255,3.0910482,0.195434576,408.3,32.69066,2827.6,8031.8,1.6109026,-1.0796472,296.667,2.5234454,1.4670849
-1364,10.295056,-0.5189694,0.27700818,-0.022052508,-0.21150508,0.28,-4.723055,10.21333,3.069003,0.16903686,408.3,32.69156,2827.6,8031.8,1.8417898,-1.1549115,296.6738,2.5228524,1.4674033
-1342,9.81453,-0.038443564,0.27700818,0.11794749,-0.0715051,0.28,-4.6931732,10.191793,3.0595552,0.184875484,408.3,32.67772,2827.6,8031.8,1.5625408,-1.2317824,296.6767,2.5223788,1.4571162
-1319,10.295056,-0.5189694,0.27700818,0.11794749,-0.0715051,0.28,-4.6984464,10.197178,3.0375102,0.17694092,408.3,32.68579,2827.6,8031.8,1.8051822,-1.2865658,296.68094,2.5216924,1.4574752
-1297,9.81453,-0.038443564,0.27700818,0.11794749,0.068494888,0.14,-4.6826268,10.185063,3.0280624,0.17166138,408.3,32.681472,2827.6,8031.8,1.5253329,-1.3479335,296.67556,2.5208332,1.4471359
-1275,10.295056,-0.038443564,0.27700818,-0.022052508,0.068494888,0,-4.7054776,10.193139,3.056406,0.15054322,408.3,32.68579,2827.6,8031.8,1.2952331,-1.3799449,296.67712,2.5195816,1.4473862
-1253,10.295056,-0.5189694,0.27700818,0.11794749,0.2084949,-0.14,-4.7037196,10.203908,3.0501074,0.16375732,408.3,32.70146,2827.6,8031.8,1.5717665,-1.4116748,296.68876,2.5185372,1.4477002
-1231,10.295056,-0.038443564,0.27700818,-0.022052508,0.2084949,-0.14,-4.72657,10.211985,3.0406594,0.15054322,408.3,32.681136,2827.6,8031.8,1.3294736,-1.4385121,296.68378,2.51733,1.4479605
-1208,10.295056,-0.038443564,0.27700818,-0.022052508,0.2084949,-0.14,-4.700204,10.195831,3.0186144,0.190155024,408.3,32.686752,2827.6,8031.8,1.1246387,-1.4651103,296.671,2.5166982,1.448401
-1186,9.81453,-0.5189694,0.27700818,-0.022052508,0.068494888,-0.14,-4.6896576,10.202561,3.0312114,0.1743164,408.3,32.68657,2827.6,8031.8,1.4598769,-1.495023,296.67536,2.5157466,1.4380964
-1164,10.295056,-0.5189694,0.27700818,-0.022052508,-0.0715051,-0.14,-4.6773532,10.214676,3.0406594,0.18753052,408.3,32.688292,2827.6,8031.8,1.6928602,-1.4998402,296.68356,2.514884,1.4385332
-1142,10.295056,-0.038443564,0.27700818,-0.022052508,-0.0715051,0,-4.731844,10.209292,3.056406,0.1980896,408.3,32.692964,2827.6,8031.8,1.4267512,-1.5002356,296.6885,2.5141904,1.4390204
-1119,10.775582,-0.5189694,0.27700818,-0.022052508,-0.21150508,0.14,-4.694931,10.19987,3.0532568,0.205993652,408.3,32.696762,2827.6,8031.8,1.664692,-1.4867901,296.7023,2.5137444,1.4502232
-1097,10.295056,-0.038443564,0.27700818,-0.022052508,-0.21150508,0.14,-4.712508,10.194485,3.0532568,0.1980896,408.3,32.695694,2827.6,8031.8,1.4096223,-1.4872526,296.70548,2.5133228,1.4507142
-1075,10.295056,-0.038443564,-0.20351768,-0.022052508,-0.21150508,0.28,-4.716024,10.202561,3.069003,0.200714116,408.3,32.69493,2827.6,8031.8,1.1980883,-1.0033946,296.71262,2.5129544,1.4512187
-1053,10.295056,-0.5189694,0.27700818,0.11794749,-0.35150512,0.28,-4.6861424,10.203908,3.0941978,0.20336914,408.3,32.70247,2827.6,8031.8,1.4847672,-1.084198,296.72272,2.5126392,1.4517364
-1031,10.295056,-0.038443564,0.27700818,-0.022052508,-0.35150512,0.28,-4.6773532,10.190447,3.0847496,0.20864868,408.3,32.70041,2827.6,8031.8,1.2636584,-1.1553991,296.7235,2.5124138,1.4522788
-1008,10.295056,-0.5189694,-0.6840435,-0.022052508,-0.21150508,0.28,-4.7212972,10.201216,3.056406,0.2244873,408.3,32.706314,2827.6,8031.8,1.525519,-0.3743773,296.72098,2.5124242,1.4528921
-986,9.81453,-0.038443564,0.27700818,-0.022052508,-0.21150508,0.14,-4.6931732,10.2066,3.0847496,0.21392822,408.3,32.69757,2827.6,8031.8,1.3068528,-0.5918251,296.70076,2.5121834,1.4427807
-964,9.81453,-0.038443564,0.27700818,-0.022052508,-0.0715051,0,-4.7212972,10.19987,3.0312114,0.21392822,408.3,32.712904,2827.6,8031.8,1.1149055,-0.7903953,296.66584,2.5117248,1.4326714
-942,10.295056,-0.038443564,-0.20351768,0.11794749,0.068494888,-0.14,-4.700204,10.207946,3.0532568,0.2244873,408.3,32.701508,2827.6,8031.8,0.9641499,-0.47856604,296.6504,2.5113154,1.4332896
-919,10.295056,-0.038443564,-0.20351768,-0.022052508,0.068494888,-0.14,-4.6896576,10.197178,3.0375102,0.23504638,408.3,32.69632,2827.6,8031.8,0.83487192,-0.21358202,296.61712,2.5110724,1.4339562
-897,10.775582,-0.5189694,0.27700818,-0.022052508,0.068494888,-0.14,-4.6914152,10.193139,3.0186144,0.25881958,408.3,32.709396,2827.6,8031.8,1.1584805,-0.4443787,296.57452,2.511296,1.4454063
-875,10.775582,-0.5189694,0.27700818,-0.022052508,0.068494888,-0.14,-4.7072352,10.203908,3.0627046,0.23770142,408.3,32.70479,2827.6,8031.8,1.4350065,-0.6315175,296.55988,2.511473,1.4567612
-853,10.295056,-0.5189694,0.27700818,0.11794749,0.068494888,0,-4.700204,10.187755,3.0501074,0.2244873,408.3,32.684112,2827.6,8031.8,1.70315408,-0.80464668,296.5556,2.5115948,1.4573782
-831,10.295056,-0.5189694,0.757534,0.11794749,0.068494888,0.14,-4.7212972,10.21333,3.069003,0.20864868,408.3,32.694152,2827.6,8031.8,1.8893564,-1.3334247,296.56432,2.5115072,1.4579246
-808,10.775582,-0.038443564,0.27700818,-0.022052508,0.068494888,0.28,-4.712508,10.207946,3.0375102,0.1980896,408.3,32.700944,2827.6,8031.8,1.5876403,-1.355456,296.56766,2.5114024,1.4691025
-786,10.295056,-0.038443564,0.27700818,-0.022052508,0.068494888,0.28,-4.680869,10.19987,3.0532568,0.20864868,408.3,32.706084,2827.6,8031.8,1.3520268,-1.383289,296.57538,2.5115744,1.4696486
-764,9.81453,-0.038443564,0.27700818,0.11794749,-0.0715051,0.28,-4.6879,10.193139,3.056406,0.20864868,408.3,32.692336,2827.6,8031.8,1.156058,-1.4171259,296.58682,2.511639,1.459516
-742,10.295056,-0.5189694,0.27700818,0.11794749,-0.0715051,0.28,-4.723055,10.201216,3.0406594,0.23242188,408.3,32.690308,2827.6,8031.8,1.4783208,-1.4354958,296.60278,2.5119298,1.4601669
-719,10.295056,-0.5189694,0.27700818,-0.022052508,-0.0715051,0.28,-4.723055,10.197178,3.0249128,0.250885,408.3,32.694504,2827.6,8031.8,1.7197406,-1.450215,296.61104,2.5124882,1.460898
